split,model,model_label,horizon,count,mae_mwh,rmse_mwh,mape_pct,smape_pct,bias_mwh,r_squared
validation,flat_persistence,Flat persistence,5,182,4713.9175824176,4968.7917445893,17.8262481404,19.8388073624,-4713.9175824176,-1.6947819713
validation,flat_persistence,Flat persistence,6,182,4653.5879120879,4960.6091431828,17.6603549534,19.6917632271,-4653.5879120879,-2.1714572579
validation,flat_persistence,Flat persistence,7,182,4031.0824175824,4396.3544531830,15.7012888411,17.3751408618,-4030.7417582418,-1.7314892389
validation,flat_persistence,Flat persistence,8,182,2881.3516483516,3303.5155300290,11.8706854738,12.9183279930,-2819.2637362637,-1.0044078111
validation,flat_persistence,Flat persistence,9,182,1904.6263736264,2325.2578564325,8.2996628054,8.8168753675,-1452.9450549451,-0.2676621350
validation,flat_persistence,Flat persistence,10,182,1599.6318681319,2029.0589750364,7.1789058546,7.3860865440,-426.4450549451,-0.3067598338
validation,flat_persistence,Flat persistence,11,182,1723.9065934066,2187.4388971058,7.8640469491,7.8034390190,354.2032967033,-1.0296812513
validation,flat_persistence,Flat persistence,12,182,1918.0274725275,2466.7471852268,8.9110691870,8.6001452755,953.1373626374,-2.2025977408
validation,flat_persistence,Flat persistence,13,182,2107.0934065934,2709.0231593735,9.9273196588,9.4426441184,1300.3461538462,-3.5368163284
validation,flat_persistence,Flat persistence,14,182,2230.4395604396,2836.8982946285,10.5600063501,10.0288747249,1366.8021978022,-4.4749712900
validation,flat_persistence,Flat persistence,15,182,2232.1043956044,2838.6092893884,10.3858947736,10.0801744904,872.2582417582,-4.1214003399
validation,flat_persistence,Flat persistence,16,182,2370.7472527473,2978.9896196271,10.5488721164,10.7321162594,-165.7472527473,-2.7313538413
validation,flat_persistence,Flat persistence,17,182,2586.9505494505,3225.4246922002,10.9057554256,11.6582636099,-1479.4450549451,-1.5882034300
validation,flat_persistence,Flat persistence,18,182,2780.4450549451,3381.7093741492,11.4829483937,12.4453923750,-2152.5329670330,-0.9491816786
validation,flat_persistence,Flat persistence,19,182,2424.1043956044,2984.7846103747,10.1904469726,10.9059959932,-1744.9725274725,-0.2612637478
validation,flat_persistence,Flat persistence,20,182,2153.7307692308,2713.2393001724,9.2260047517,9.7347551697,-1205.8956043956,0.0509237338
validation,flat_persistence,Flat persistence,21,182,1958.8626373626,2492.6000999442,8.6007420257,8.9216906705,-749.0384615385,0.2452811865
validation,flat_persistence,Flat persistence,22,182,1916.0054945055,2438.3449496342,8.6233638455,8.7802981128,-350.8516483516,0.3610094953
validation,flat_persistence,Flat persistence,23,182,1930.9340659341,2419.2717049595,8.8383670523,8.8891843697,-120.6703296703,0.4112407811
validation,flat_persistence,Flat persistence,24,182,1966.2527472527,2465.5160795382,9.1131023538,9.0912087223,-23.1428571429,0.4800686979
validation,recursive_linear_regression,Recursive Linear Regression,1,182,526.0829947248,645.1248576287,2.5113767090,2.4677743776,376.2860464344,0.9697980755
validation,recursive_linear_regression,Recursive Linear Regression,2,182,986.1078882098,1220.8646501422,4.6092624228,4.4553949937,764.8250906098,0.8988293395
validation,recursive_linear_regression,Recursive Linear Regression,3,182,1005.9118452347,1237.1624760056,4.2905256525,4.2018828493,425.5390846622,0.8928057747
validation,recursive_linear_regression,Recursive Linear Regression,4,182,910.8719497126,1163.2713752251,3.4912982922,3.5187623764,-314.0241919636,0.8904942442
validation,recursive_linear_regression,Recursive Linear Regression,5,182,1117.7536872100,1394.4103019253,4.1337513528,4.2320252040,-770.4013737684,0.7877717421
validation,recursive_linear_regression,Recursive Linear Regression,6,182,1122.2374926735,1409.7274672934,4.1568443595,4.2508355210,-740.6594576236,0.7438707562
validation,recursive_linear_regression,Recursive Linear Regression,7,182,1020.5256390608,1285.2953819352,3.8498150649,3.9176460094,-601.5428402469,0.7665359644
validation,recursive_linear_regression,Recursive Linear Regression,8,182,800.0567616589,1034.4651875994,3.1920793089,3.2011737742,-186.7893456944,0.8034535785
validation,recursive_linear_regression,Recursive Linear Regression,9,182,807.8945492397,1021.0784810745,3.4730752992,3.4255393229,231.4094026075,0.7555559196
validation,recursive_linear_regression,Recursive Linear Regression,10,182,755.7352307613,926.3081331126,3.3983015539,3.3416629192,345.6858943071,0.7276562637
validation,recursive_linear_regression,Recursive Linear Regression,11,182,752.6959189803,910.2383891327,3.5029476485,3.4394483573,406.2322107023,0.6485477931
validation,recursive_linear_regression,Recursive Linear Regression,12,182,772.9939725498,957.7268747781,3.6923210028,3.6035481126,569.9967831556,0.5172342415
validation,recursive_linear_regression,Recursive Linear Regression,13,182,868.8505534097,1069.8038109484,4.2040859125,4.0843792892,756.2155744259,0.2924876209
validation,recursive_linear_regression,Recursive Linear Regression,14,182,935.3800698900,1130.9127643539,4.5163525728,4.3811638162,859.9547507012,0.1299333437
validation,recursive_linear_regression,Recursive Linear Regression,15,182,746.1500352485,984.9215677601,3.5243465720,3.4392666956,534.6596285581,0.3834322825
validation,recursive_linear_regression,Recursive Linear Regression,16,182,861.1432929893,1093.9910534642,3.8558584419,3.8957562401,-233.8667989483,0.4967821988
validation,recursive_linear_regression,Recursive Linear Regression,17,182,1382.6913028241,1701.1409050918,5.7738233932,6.0084637881,-1190.7753490492,0.2800453005
validation,recursive_linear_regression,Recursive Linear Regression,18,182,1654.5334349165,1996.2309628565,6.6820519234,6.9834779850,-1474.4891118379,0.3207942830
validation,recursive_linear_regression,Recursive Linear Regression,19,182,1258.3851699628,1632.8224377386,5.1720460369,5.3069059486,-752.3698925025,0.6225513826
validation,recursive_linear_regression,Recursive Linear Regression,20,182,1200.7595134300,1560.2124968405,5.1793832677,5.1749191171,-36.1236880575,0.6861714724
validation,recursive_linear_regression,Recursive Linear Regression,21,182,1299.2959657237,1667.0343941443,5.8061153568,5.6820517861,458.1338632385,0.6624259295
validation,recursive_linear_regression,Recursive Linear Regression,22,182,1499.2884961341,1875.6884473832,6.8699987648,6.6389322622,780.5857531362,0.6218835931
validation,recursive_linear_regression,Recursive Linear Regression,23,182,1548.3236481861,1947.5213399185,7.2014112867,6.9284533223,857.0539691892,0.6184663226
